Factory,DT,Trouble_Status,Oper_No,Trouble_Item,Description
ASEF3,"2025-6-6, 08:07",關閉比對,4730,關整台,4730#652 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-6-6, 08:10",關閉比對,4730,關整台,4730#603 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-6-6, 08:47",關閉比對,4730,關整台,4730#818  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫。
ASEF3,"2025-6-6, 10:05",關閉比對,4730,關整台,4730#808  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫。
ASEF1,"2025-6-6, 10:23",自動化設備相關,2715,機台異常,2715-A02
ASEF1,"2025-6-6, 10:24",自動化設備相關,2500,機台異常,A LINE NG
ASEF3,"2025-6-6, 12:56",過帳相關,3910,連線異常,"3910-823 因讀取2D時FAIL，機台顯示產品已打印，實際產品未打印。
批號為 5-222KX5-001-005
目前當站EE已確認OK，煩請協助消除此條批號之作業紀錄，謝謝。"
ASEF3,"2025-6-6, 13:48",過帳相關,3910,連線異常,2D讀取Timeout，請協助清除2D讀取紀錄。5-22UYUM-023-004
ASEF3,"2025-6-6, 15:51",過帳相關,3400,無法過帳,"LC : 623
PKG Code : SE1W
Slot ; 1"
ASEF3,"2025-6-6, 16:59",自動化設備相關,3260,機台異常,3260自動化機故
ASEF1,"2025-6-6, 17:03",自動化設備相關,2500,機台異常,B LINE NG
ASEF1,"2025-6-6, 18:47",自動化設備相關,2500,機台異常,B LINE NG
ASEF3,"2025-6-6, 19:01",自動化設備相關,3260,機台異常,
ASEF1,"2025-6-6, 19:24",自動化設備相關,2500,機台異常,2500儲格異常
ASEF3,"2025-6-6, 19:47",自動化設備相關,4110,機台異常,
ASEF3,"2025-6-6, 19:53",關閉比對,4515,關整台,4515#651 需過帳4554站點，請協助關閉防漏洗功能
ASEF3,"2025-6-6, 19:54",關閉比對,4730,關整台,4730#810  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-6-6, 19:54",關閉比對,4730,關整台,4730#816  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-6-6, 19:55",關閉比對,4730,關整台,4730#809  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-6-6, 19:55",關閉比對,4730,關整台,4730#811 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-6-6, 19:55",關閉比對,4730,關整台,4730#820 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-6-6, 19:56",關閉比對,4730,關整台,4730#818  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-6-6, 19:56",關閉比對,4730,關整台,4730#808  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-6-6, 20:35",過帳相關,3910,連線異常,"請協助刪除作業紀錄
5-182K87-002-001"
ASEF3,"2025-6-6, 21:55",過帳相關,3910,無法過帳,5-ANQMFP-009-S4因2D逾時上未打印，請協助消除紀錄
ASEF3,"2025-6-6, 22:34",關閉比對,4730,關整台,4730#822  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-6-6, 22:47",自動化設備相關,4110,機台異常,
